company,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
Freddie Mac,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lowe's,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Dell Technologies,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
MetLife,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Aetna,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PepsiCo,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Archer Daniels Midland,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
UPS,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Intel,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Prudential Financial,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Albertsons,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
United Technologies,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Marathon Petroleum,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Disney,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Humana,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Pfizer,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AIG,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lockheed Martin,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Sysco,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
FedEx,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Hewlett Packard Enterprise,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cisco Systems,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
HP,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Dow Chemical,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
HCA,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Coca-Cola,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
New York Life Insurance,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Centene,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
American Airlines,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nationwide,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Merck,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cigna,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
