cid,list_id,company,position,office,office_state,job_type
c220,f1000_41,MetLife,Sr Software Develop Engineer,Cary,NC,computer_science
c221,f1000_896,Microchip Technology,Software Engineer,San Jose,CA,computer_science
c222,ru_MKSI,Mks Instruments,Software Engineer,North Logan,UT,computer_science
c223,f1000_155,Molina Healthcare,Analyst - HEDIS/ Quality Reporting-BI and ETL Developer,Long Beach,CA,computer_science
c224,ru_MGI,Moneygram,Software Engineer II,Saint Louis Park,MN,computer_science
c225,nasdaq_MPWR,Monolithic Power Systems,Sr IT Software Engineer,San Jose,CA,computer_science
c226,f1000_827,Moog,Embedded Software Engineer,West Melbourne,FL,computer_science
c227,ru_MORN,Morningstar,Senior Software Engineer,Chicago,IL,computer_science
c228,f1000_376,Mosaic,Senior Software Engineer,Oakland,CA,computer_science
c229,ru_MSCI,Msci,Senior Software Developer,Norman,OK,computer_science
c230,ru_MTSC,Mts Systems,Software Engineer,Eden Prairie,MN,computer_science
c231,f1000_408,NCR,C Software Engineer,Atlanta,GA,computer_science
c232,ru_EGOV,NIC,FULL STACK MOBILE DEVELOPER,Olathe,KS,computer_science
c233,ru_NMIH,NMI,Software Engineer,Roselle,IL,computer_science
c234,f1000_909,NOW,Software Developer,Cuyahoga Falls,OH,computer_science
c235,f1000_619,Nasdaq,Software Engineer,Lakewood,CO,computer_science
c236,ru_NTRA,Natera,Senior Software Engineer in Test,San Carlos,CA,computer_science
c237,f1000_642,National General,Software Developer II,Chicago,IL,computer_science
c238,nasdaq_NATI,National Instruments,Software Engineer - Senior - Semiconductor Test Systems,Austin,TX,computer_science
c239,f1000_374,National Oilwell Varco,Software Development Supervisor,Houston,TX,computer_science
c240,ru_EYE,National Vision,Programmer / Analyst Sr Java,Clifton,NJ,computer_science
c241,ru_NWLI,National Western Life,Software Developer,Austin,TX,computer_science
c242,f1000_513,Navient,Senior Software Engineer,Austin,TX,computer_science
c243,ru_NAVG,Navigators,Mid-Level Software Developer,Colorado Springs,CO,computer_science
c244,ru_NNI,Nelnet,IT Software Engineer,Burleson,TX,computer_science
c245,f1000_467,NetApp,Software Engineer,Sunnyvale,CA,computer_science
c246,nasdaq_NXGN,NextGen Healthcare,Software Engineer,Atlanta,GA,computer_science
c247,f1000_87,Nike,Software Engineer I,Beaverton,OR,computer_science
c248,nasdaq_NOK,Nokia,Software Engineer,Irving,TX,computer_science
c249,f1000_283,Norfolk Southern,Java Developer,Atlanta,GA,computer_science
c250,f1000_113,Northrop Grumman,Software Engineer,Redondo Beach,CA,computer_science
c251,f1000_96,Northwestern Mutual,Software Engineer,Milwaukee,WI,computer_science
c252,ru_NXPI,Nxp Semiconductors,Embedded Software Developer for ARM based Systems,Austin,TX,computer_science
c253,f1000_277,Occidental Petroleum,Full Stack Developer,Houston,TX,computer_science
c254,f1000_870,Oceaneering,Field Software Engineer,Hanover,MD,computer_science
c255,f1000_601,OneMain,Software Engineer,Chicago,IL,computer_science
c256,glassdoor_27,OppLoans,Software Engineer,Chicago,IL,computer_science
c257,f1000_80,Oracle,Software Developer 4,Redwood City,CA,computer_science
c258,ru_ORBC,Orbcomm,Java Developer / Release and Deployment Manager,Salt Lake City,UT,computer_science
c259,ru_OUT,Outfront Media,Application Web Developer,New York,NY,computer_science
c260,f1000_876,PCM,SQL Developer,Annapolis,MD,computer_science
c261,ru_PHIIK,PHI,Software Engineer,New Iberia,LA,computer_science
c262,f1000_307,PSEG,Software Engineer,Hancocks Bridge,NJ,computer_science
c263,forbes_15,PagerDuty,Senior Software Engineer - Billing & Monetization,Atlanta,GA,computer_science
c264,f1000_759,Panera Bread,Analyst - Software Engineer,St. Louis,MO,computer_science
c265,glassdoor_18,Pariveda Solutions,Software Engineer,Seattle,WA,computer_science
c266,f1000_465,Patterson,Senior 3D Software Engineer,Chatsworth,CA,computer_science
c267,cnbc_12,Payoneer,Software Engineer-Full Stack Developer,New York,NY,computer_science
c268,f1000_798,Penn Mutual Life Insurance,Software Engineer,Horsham,PA,computer_science
c269,nasdaq_PRFT,Perficient,Senior Software Engineer,Chicago,IL,computer_science
c270,f1000_874,PerkinElmer,Software Engineer in Test,Ontario,CA,computer_science
c271,nasdaq_PHUN,Phunware,Software Engineer - Android,Austin,TX,computer_science
c272,f1000_605,Pioneer Natural Resources,Oracle Developer III - Staff Developer,Irving,TX,computer_science
c273,f1000_662,Pitney Bowes,Principal Software Engineer,Danbury,CT,computer_science
c274,nasdaq_PVTL,Pivotal Software,Software Engineer - Pivotal Labs,Atlanta,GA,computer_science
c275,forbes_39,PointClickCare,Senior Software Engineer,Bloomington,MN,computer_science
c276,f1000_536,Polaris Industries,Embedded Software Engineer - CV,Sunnyvale,CA,computer_science
c277,f1000_954,Popular,Software Engineer,Chicago,IL,computer_science
c278,glassdoor_64,Power Home Remodeling,Full Stack Ruby on Rails Developer,Philadelphia,PA,computer_science
c279,f1000_267,Priceline.com,Senior Software Engineer,Norwalk,CT,computer_science
c280,glassdoor_53,Procore Technologies,Senior Software Engineer,Austin,TX,computer_science
c281,nasdaq_PSTG,Pure Storage,Senior Software Engineer - UI,Bellevue,WA,computer_science
c282,ru_QUOT,Quotient Technology,Software Engineer,Mountain View,CA,computer_science
c283,ru_RCM,R1 Rcm,Senior Front-End Software Engineer,Murray,UT,computer_science
c284,f1000_468,Raymond James Financial,Senior Application Developer - Java,Saint Petersburg,FL,computer_science
c285,nasdaq_RP,RealPage,Software Engineer,Richardson,TX,computer_science
c286,ru_RDFN,Redfin,Software Developer II,Seattle,WA,computer_science
c287,nasdaq_RNG,Ringcentral,Senior Software Engineer,Boulder,CO,computer_science
c288,f1000_492,Robert Half,Software Engineer II,San Ramon,CA,computer_science
c289,f1000_441,Rockwell Automation,Software Engineer Systems,Alpharetta,GA,computer_science
c290,f1000_574,Rush Enterprises,Software Engineer,New Braunfels,TX,computer_science
c291,f1000_667,Sabre,Software Engineer,Patuxent River,MD,computer_science
c292,glassdoor_40,Sage Intacct,Sr Software Engineer Lead,San Jose,CA,computer_science
c293,nasdaq_SAIL,SailPoint Technologies,Software Engineer,Austin,TX,computer_science
c294,ru_SLB,Schlumberger,MAXWELL ACQUISITION SOFTWARE ENGINEER,Sugar Land,TX,computer_science
c295,ru_SCHL,Scholastic,Associate Software Engineer,New York,NY,computer_science
c296,f1000_749,Scientific Games,Sr Software Engineer,Reno,NV,computer_science
c297,f1000_396,Sealed Air,Senior Embedded Software Engineer,Charlotte,NC,computer_science
