list_id,company,raw_company,rank,source,job_type
nasdaq_SPNS,Sapiens International Corporation N.V.,Sapiens International Corporation N.V.,366.0,nasdaq_tech,data_science_b
nasdaq_QTNA,Quantenna Communications,"Quantenna Communications, Inc.",367.0,nasdaq_tech,data_science_b
nasdaq_DOMO,Domo,"Domo, Inc.",368.0,nasdaq_tech,data_science_b
nasdaq_CMTL,Comtech Telecommunications,Comtech Telecommunications Corp.,369.0,nasdaq_tech,data_science_b
nasdaq_VNET,21Vianet Group,"21Vianet Group, Inc.",370.0,nasdaq_tech,data_science_b
nasdaq_ACLS,Axcelis Technologies,"Axcelis Technologies, Inc.",371.0,nasdaq_tech,data_science_b
nasdaq_SGH,SMART Global Holdings,"SMART Global Holdings, Inc.",372.0,nasdaq_tech,data_science_b
nasdaq_RBBN,Ribbon Communications,Ribbon Communications Inc. ,373.0,nasdaq_tech,data_science_b
nasdaq_OSPN,OneSpan,OneSpan Inc.,374.0,nasdaq_tech,data_science_b
nasdaq_SWIR,Sierra Wireless,"Sierra Wireless, Inc.",375.0,nasdaq_tech,data_science_b
nasdaq_CEVA,CEVA,"CEVA, Inc.",376.0,nasdaq_tech,data_science_b
nasdaq_GILT,Gilat Satellite Networks,Gilat Satellite Networks Ltd.,377.0,nasdaq_tech,data_science_b
nasdaq_ATEN,A10 Networks,"A10 Networks, Inc.",378.0,nasdaq_tech,data_science_b
nasdaq_CAMP,CalAmp,CalAmp Corp.,379.0,nasdaq_tech,data_science_b
nasdaq_MOBL,MobileIron,"MobileIron, Inc.",380.0,nasdaq_tech,data_science_b
nasdaq_JKS,JinkoSolar Holding Company Limited,JinkoSolar Holding Company Limited,381.0,nasdaq_tech,data_science_b
nasdaq_CAI,CAI International,"CAI International, Inc.",382.0,nasdaq_tech,data_science_b
nasdaq_PKE,Park Electrochemical Corporation,Park Electrochemical Corporation,383.0,nasdaq_tech,data_science_b
nasdaq_NVEC,NVE Corporation,NVE Corporation,384.0,nasdaq_tech,data_science_b
nasdaq_BBSI,Barrett Business Services,"Barrett Business Services, Inc.",385.0,nasdaq_tech,data_science_b
nasdaq_MODN,Model N,"Model N, Inc.",386.0,nasdaq_tech,data_science_b
nasdaq_ATTU,Attunity,Attunity Ltd.,387.0,nasdaq_tech,data_science_b
nasdaq_HIMX,Himax Technologies,"Himax Technologies, Inc.",388.0,nasdaq_tech,data_science_b
nasdaq_ICHR,Ichor Holdings,Ichor Holdings,389.0,nasdaq_tech,data_science_b
nasdaq_MITK,Mitek Systems,"Mitek Systems, Inc.",390.0,nasdaq_tech,data_science_b
nasdaq_KE,Kimball Electronics,"Kimball Electronics, Inc.",391.0,nasdaq_tech,data_science_b
nasdaq_HLIT,Harmonic,Harmonic Inc.,392.0,nasdaq_tech,data_science_b
nasdaq_ERII,Energy Recovery,"Energy Recovery, Inc.",393.0,nasdaq_tech,data_science_b
nasdaq_SSTI,ShotSpotter,"ShotSpotter, Inc.",394.0,nasdaq_tech,data_science_b
nasdaq_VECO,Veeco Instruments,Veeco Instruments Inc.,395.0,nasdaq_tech,data_science_b
nasdaq_MGIC,Magic Software Enterprises,Magic Software Enterprises Ltd.,396.0,nasdaq_tech,data_science_b
nasdaq_CPSI,Computer Programs and Systems,"Computer Programs and Systems, Inc.",397.0,nasdaq_tech,data_science_b
nasdaq_RST,Rosetta Stone,Rosetta Stone,398.0,nasdaq_tech,data_science_b
