cid,list_id,company,position,office,office_state,job_type,list_rank,source,file_rank
c0226,f1000_210,Ecolab,Data Scientist,Naperville,IL,data_science,211.0,fortune1000,2
c0227,f1000_214,Kinder Morgan,Project Manager - Tank Integrity,Houston,TX,mba,215.0,fortune1000,2
c0228,f1000_215,Kellogg,Food Technologist/Technical Program Manager,Battle Creek,MI,mba,216.0,fortune1000,2
c0229,f1000_217,Guardian Life Insurance Company,Data Scientist III - PHD Preferred,New York,NY,data_science,218.0,fortune1000,2
c0230,f1000_22,Home Depot,Data Scientist - Online,Atlanta,GA,data_science,23.0,fortune1000,2
c0231,f1000_220,J.C. Penney,Data Scientist - Sourcing Analytics,Plano,TX,data_science,221.0,fortune1000,2
c0232,f1000_223,Viacom,Associate Data Scientist,New York,NY,data_science,224.0,fortune1000,2
c0233,f1000_226,Principal Financial,Data Engineer,Des Moines,IA,data_science,227.0,fortune1000,2
c0234,f1000_229,VF,Creative Project Manager,Denver,CO,mba,230.0,fortune1000,2
c0235,f1000_23,Boeing,Software Engineer,St. Louis,MO,computer_science,24.0,fortune1000,2
c0236,f1000_232,Bed Bath & Beyond,Java Microservices Developer,Union,NJ,computer_science,233.0,fortune1000,2
c0237,f1000_234,Edison,Data Scientist,San Jose,CA,data_science,235.0,fortune1000,2
c0238,f1000_235,Sherwin-Williams,Junior Java Developer,Cleveland,OH,computer_science,236.0,fortune1000,2
c0239,f1000_238,Ameriprise Financial,Senior Software Engineer,Minneapolis,MN,computer_science,239.0,fortune1000,2
c0240,f1000_239,ADP,Senior Technical Product Manager - Machine Learning,New York,NY,data_science,240.0,fortune1000,2
c0241,f1000_24,Wells Fargo,Nlp Data Scientist / Analytic Consultant 4,Irving,TX,data_science,25.0,fortune1000,2
c0242,f1000_240,Hilton,Lead - Product Manager,Addison,TX,mba,241.0,fortune1000,2
c0243,f1000_242,Henry Schein,Software Engineer I,American Fork,UT,computer_science,243.0,fortune1000,2
c0244,f1000_244,BB&T,Card and Digital Fraud Data Scientist,Charlotte,NC,data_science,245.0,fortune1000,2
c0245,f1000_247,Biogen,Senior Scientist - Cellular Physiology,Cambridge,MA,data_science,248.0,fortune1000,2
c0246,f1000_249,Stanley Black & Decker,Front-end / Web Developer,Marietta,GA,computer_science,250.0,fortune1000,2
c0247,f1000_25,Bank of America,Data Scientist I,Charlotte,NC,data_science,26.0,fortune1000,2
c0248,f1000_251,Stryker,Principal Biosignal Algorithm Engineer /Scientist,Redmond,WA,data_science,252.0,fortune1000,2
c0249,f1000_254,BlackRock,Senior Data Scientist,Atlanta,GA,data_science,255.0,fortune1000,2
c0250,f1000_255,Xcel Energy,Product Manager Job,Minneapolis,MN,mba,256.0,fortune1000,2
c0251,f1000_259,Lennar,Land Project Manager,Vancouver,WA,mba,260.0,fortune1000,2
c0252,f1000_26,Waymo,Software Engineer - Full Stack,Mountain View,CA,data_science,27.0,fortune1000,2
c0253,f1000_262,Entergy,Data Engineer,The Woodlands,TX,data_science,263.0,fortune1000,2
c0254,f1000_263,PayPal,Sr Machine Learning Engineer,San Jose,CA,data_science,264.0,fortune1000,2
