company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
PayPal,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Applied Materials,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Voya Financial,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Mastercard,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Priceline,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Liberty Interactive,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AutoZone,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
State Street,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DTE Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
L3 Technologies,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
HollyFrontier,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Praxair,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Universal Health Services,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Discover Financial Services,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Occidental Petroleum,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
United States Steel,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Sempra Energy,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Baxter,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
WW Grainger,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Autoliv,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Norfolk Southern,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Baker Hughes,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ally Financial,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Sonic Automotive,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Owens & Minor,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Huntsman,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Laboratoryof America,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Murphy USA,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Advance Auto Parts,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Fidelity National Financial,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Air Products & Chemicals,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Hormel Foods,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Hertz Global,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
MGM Resorts,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Corning,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Republic Services,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Alcoa,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Fidelity National Information Services,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Pacific Life,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
SunTrust Banks,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
LKQ,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
BorgWarner,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ball,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CST Brands,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Public Service Enterprise,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Eastman Chemical,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
