cid,list_id,company,position,office,office_state,job_type
c114,f1000_388,Fifth Third Bank,Quant Analyst II,Chicago,IL,stats
c115,f1000_841,First Republic Bank,Quantitative Risk Analyst,San Francisco,CA,stats
c116,f1000_470,Fiserv,Project Research - Analyst,Brookfield,WI,stats
c117,f1000_470,Fiserv,Research Project Manager,Brookfield,WI,stats
c118,f1000_9,Ford Motor,Statistician / Business Intelligence Scientist,Dearborn,MI,stats
c119,vault_87,Fox Rothschild,Land Use Associate,New York,NY,consultant
c120,f1000_38,Freddie Mac,Senior Data Scientist,McLean,VA,stats
c121,f1000_796,GNC,Computer Scientist/Software Engineer,Greenville,PA,stats
c122,f1000_177,Gap,IT Scientific Program Analyst,Rockville,MD,stats
c123,f1000_820,Gartner,Associate Data Scientist,Arlington,VA,stats
c124,f1000_1,Geico,Data Scientist,Chevy Chase,MD,stats
c125,f1000_12,General Electric,Data Scientist,Washington,DC,stats
c126,f1000_91,Gilead Sciences,Clinical Data Scientist,Foster City,CA,stats
c127,f1000_77,Goldman Sachs,FICC - Commodities - Quantitative Sales Strategist,New York,NY,stats
c128,vault_44,Goodwin Procter,Public M&A Associate,Boston,MA,consultant
c129,glassdoor_57,Google,Sampling Statistician - CX Lab,Mountain View,CA,stats
c130,glassdoor_17,Grand Rounds,Senior Data Scientist,San Francisco,CA,stats
c131,vault_205,Grant Thornton,348 Tax WNTO Tax Statistician Associate - WNTO National Tax Standards Group,Washington,DC,stats
c132,vault_52,Greenberg Traurig,Mid-Level M&A Associate,Fort Lauderdale,FL,consultant
c133,f1000_703,Groupon,Data Scientist,Seattle,WA,stats
c134,nasdaq_GWRE,Guidewire Software,Senior Data Scientist - Cyber Risk Analytics - - CA,San Mateo,CA,stats
c135,f1000_62,HCA,Data Scientist II,Nashville,TN,stats
c136,f1000_889,HNI,Data Scientist,Muscatine,IA,stats
c137,f1000_516,Hanover Insurance,Sr Data Scientist,Worcester,MA,stats
c138,f1000_362,Harris,Marketing Research Analyst - - NC,Matthews,NC,stats
c139,f1000_58,Hewlett Packard Enterprise,Research Engineer - Data Scientist - Statistics,Palo Alto,CA,stats
c140,vault_58,Holland & Knight,Real Estate Associate,New York,NY,consultant
c141,f1000_22,Home Depot,Data Scientist - Online,Atlanta,GA,stats
c142,f1000_72,Honeywell,Sr Data Scientist,Atlanta,GA,stats
c143,cnbc_30,Houzz,User Experience Researcher,Palo Alto,CA,stats
c144,f1000_52,Humana,Data Scientist 2,Louisville,KY,stats
c145,nasdaq_INFO,IHS Markit,Research Analyst II,Austin,TX,stats
c146,f1000_832,Illumina,Principal Biostatistician,Foster City,CA,stats
c147,nasdaq_INOV,Inovalon,Senior Analyst - Financial and Quantitative Analytics,Bowie,MD,stats
