list_id,company,rank,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5
f1000_987,FleetCor Technologies,988.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_989,Beazer Homes USA,990.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_993,Marriott Vacations Worldwide,994.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_996,Briggs & Stratton,997.0,fortune1000,data_science,stats,quant,mba,consultant
f1000_998,Overstock.com,999.0,fortune1000,data_science,stats,quant,mba,consultant
hedge_1,AQR Capital Management,2.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_2,J.P. Morgan Asset Management,3.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_3,Renaissance Technologies,4.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_5,D. E. Shaw & Co,6.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_8,Och-Ziff Capital Management,9.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_10,Elliott Management,11.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_11,Baupost,12.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_12,Adage Capital Management,13.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_13,Viking Global Investors,14.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_15,Davidson Kempner Capital Management,16.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_17,Marshall Wace,18.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_18,Lone Pine Capital,19.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_19,Credit Suisse Asset Management,20.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_20,Farallon Capital Management,21.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_21,GAM,22.0,hedge_fund_100,quant,data_science,stats,consultant,mba
hedge_22,King Street Capital Management,23.0,hedge_fund_100,quant,data_science,stats,consultant,mba
